       L-Lsep (m)            R (m)            Z (m)          Te (eV)          Ti (eV)         FluxLi+3         FluxLi+2         FluxLi+1        FluxNe+10         FluxNe+9         FluxNe+8         FluxNe+7         FluxNe+6         FluxNe+5         FluxNe+4         FluxNe+3         FluxNe+2         FluxNe+1          FluxD+1            nLi+3            nLi+2            nLi+1           nNe+10            nNe+9            nNe+8            nNe+7            nNe+6            nNe+5            nNe+4            nNe+3            nNe+2            nNe+1             nD+1          |B| (T)     Bangle (deg)       q_e (W/m2)       q_i (W/m2)     q_tot (W/m2)
  1.70845427e-02   4.09515715e+00  -3.24386965e+00   1.45950039e+00   1.47099619e+00   4.99334213e+14   1.12282188e+16   2.03430819e+17   1.81194206e+12   2.25613684e+12   1.11866926e+15   2.14439933e+16   1.54963523e+17   6.20923381e+17   2.59182706e+18   5.94666929e+19   5.74930301e+20   4.43615072e+20   1.28872586e+24   2.76330102e+12   6.20485172e+13   1.13398347e+15   1.00000000e+10   1.24534873e+10   6.17307995e+12   1.18152709e+14   8.55140759e+14   3.43467019e+15   1.43553625e+16   3.29529847e+17   3.16847136e+18   2.44785983e+18   7.11347985e+21   8.78453853e+00   8.90291319e+01   8.57548280e+05   7.64158406e+05   4.61562586e+06
  2.77984207e-02   4.10234301e+00  -3.23712512e+00   1.38200501e+00   1.39193885e+00   2.23159317e+14   4.07148766e+15   2.21373858e+17   1.81963458e+12   2.25647119e+12   2.42493923e+14   6.73113107e+15   5.96635388e+16   3.87578900e+17   2.06161811e+18   1.33994623e+19   4.85831166e+20   4.29593213e+20   1.28640033e+24   1.21129915e+12   2.21839968e+13   1.21060992e+15   1.00000000e+10   1.23977295e+10   1.31894529e+12   3.68025024e+13   3.25700521e+14   2.10901352e+15   1.11916910e+16   7.26838494e+16   2.65534024e+18   2.36579753e+18   7.05863310e+21   8.76792397e+00   8.89973575e+01   8.19357884e+05   7.20194124e+05   4.50600968e+06
  4.04183971e-02   4.11070363e+00  -3.22927799e+00   1.25319374e+00   1.25915793e+00   1.71333456e+13   8.61173460e+14   1.57880961e+17   1.66424026e+12   2.05285722e+12   5.01951089e+13   1.37323719e+15   1.04888458e+16   5.50267483e+16   3.87689737e+17   4.33055269e+18   1.13374097e+20   1.75178487e+20   1.00075446e+24   1.03925199e+11   5.20524162e+12   9.44303633e+14   1.00000000e+10   1.23351871e+10   3.03901562e+11   8.28795937e+12   6.33341967e+13   3.33038444e+14   2.35089297e+15   2.62175184e+16   6.83158695e+17   1.05449198e+18   6.01305609e+21   8.74845353e+00   8.90268215e+01   5.85051151e+05   5.10674370e+05   3.37987892e+06
  5.49331902e-02   4.12064025e+00  -3.21995158e+00   1.11586384e+00   1.11908845e+00   1.20233546e+13   9.01434774e+14   1.63441814e+17   1.62445507e+12   2.02706924e+12   3.34192713e+13   1.43387287e+15   9.37515373e+15   2.52538463e+16   2.20764110e+17   4.22966755e+18   1.45578526e+20   3.09490472e+20   6.42625572e+23   7.30033966e+10   5.49453109e+12   1.00707611e+15   1.00000000e+10   1.24702212e+10   2.02910927e+11   8.70986823e+12   5.69373522e+13   1.53025065e+14   1.34115202e+15   2.56255085e+16   8.90205678e+17   1.90233866e+18   3.94736857e+21   8.72621374e+00   8.90208550e+01   3.34885514e+05   2.88808547e+05   2.10008324e+06
  7.08924803e-02   4.13170767e+00  -3.20956372e+00   1.05879840e+00   1.05963370e+00   5.66303924e+12   3.65829634e+14   1.68091154e+17   1.59020932e+12   1.97759649e+12   6.01121405e+12   3.60602205e+14   3.03497391e+15   1.10168149e+16   6.60850023e+16   7.26048160e+17   1.32351200e+20   3.55461234e+20   5.24848566e+23   3.70092807e+10   2.35845383e+12   1.06148677e+15   1.00000000e+10   1.24536275e+10   3.90634894e+10   2.30470484e+12   1.93655430e+13   7.15648452e+13   4.31379390e+14   4.81371200e+15   8.46373609e+17   2.23692472e+18   3.32040532e+21   8.70188576e+00   8.90130260e+01   2.62623961e+05   2.23133480e+05   1.67978456e+06
  8.83206049e-02   4.14374530e+00  -3.19826524e+00   1.09881021e+00   1.10411519e+00   1.57162858e+12   1.44259576e+14   1.36031515e+17   1.57162628e+12   1.96584697e+12   3.34089409e+12   1.75907034e+14   1.28371706e+15   2.97376072e+15   1.97890520e+16   4.43837257e+17   6.07817019e+19   2.27788803e+20   4.29667271e+23   1.00000000e+10   9.31759859e+11   8.69908388e+14   1.00000000e+10   1.25227309e+10   2.20573172e+10   1.14626128e+12   8.38339271e+12   1.95495022e+13   1.30222428e+14   2.92671571e+15   3.89241734e+17   1.45318148e+18   2.73984081e+21   8.67545196e+00   8.90216321e+01   2.23553135e+05   1.91655264e+05   1.38923740e+06
  1.07028643e-01   4.15696628e+00  -3.18585617e+00   1.03882214e+00   1.03947591e+00   1.58117450e+12   1.60663973e+14   1.50790185e+17   1.58117399e+12   1.99215405e+12   2.97823338e+12   1.53446054e+14   1.16053359e+15   2.76668096e+15   1.74297776e+16   6.10708981e+17   8.48725178e+19   3.40863313e+20   3.53404527e+23   1.00000000e+10   1.00213310e+12   9.53382821e+14   1.00000000e+10   1.25886007e+10   1.84663259e+10   9.65783714e+11   7.30643733e+12   1.71682162e+13   1.07605225e+14   3.73974697e+15   5.30879122e+17   2.14828131e+18   2.23201098e+21   8.64725484e+00   8.90091325e+01   1.72428931e+05   1.47236426e+05   1.12599493e+06
  1.26759647e-01   4.17086771e+00  -3.17280870e+00   1.01449373e+00   1.01406515e+00   1.54333605e+12   2.01246900e+14   1.55976349e+17   1.54333360e+12   1.95082048e+12   1.96488497e+12   6.70618385e+13   5.51109350e+14   1.53022181e+15   8.64256545e+15   4.49636933e+17   1.48069189e+20   6.56041210e+20   3.03624768e+23   1.00000000e+10   1.31082265e+12   1.01473716e+15   1.00000000e+10   1.26505033e+10   1.28415558e+10   4.45793892e+11   3.65936538e+12   1.01244098e+13   5.70585684e+13   2.96048592e+15   9.60761003e+17   4.26094594e+18   1.97436041e+21   8.61770266e+00   8.90128503e+01   1.44453578e+05   1.23545913e+05   9.57538008e+05
  1.47560243e-01   4.18559315e+00  -3.15898783e+00   1.01747638e+00   1.01626848e+00   8.20587722e+12   6.64267079e+14   1.81878777e+17   1.51439142e+12   2.30433421e+12   9.46900939e+12   3.96482376e+14   2.11534762e+15   4.58440872e+15   2.53130284e+16   5.41620584e+17   2.48199171e+20   1.01592888e+21   2.99479922e+23   5.41801863e+10   4.38773575e+12   1.19988953e+15   1.00000000e+10   1.52042536e+10   6.24895737e+10   2.61691647e+12   1.39715328e+13   3.02777159e+13   1.67062069e+14   3.58598235e+15   1.63747611e+18   6.70143644e+18   1.97549759e+21   8.58679395e+00   8.90216378e+01   1.44073545e+05   1.22595953e+05   9.52409241e+05
  1.68981318e-01   4.20103205e+00  -3.14449734e+00   1.03728589e+00   1.03417364e+00   1.26744554e+14   7.01034389e+15   4.73245223e+17   1.53120809e+12   1.16451895e+13   1.66959246e+14   5.69263443e+15   2.23251120e+16   3.28658177e+16   1.24241641e+17   2.03330542e+18   4.30279730e+20   1.49100320e+21   2.89170298e+23   8.25465425e+11   4.58152715e+13   3.09499152e+15   1.00000000e+10   7.61233862e+10   1.09000948e+12   3.73069055e+13   1.46261148e+14   2.14450499e+14   8.08938631e+14   1.32358868e+16   2.80839398e+18   9.73604689e+18   1.88825268e+21   8.55516738e+00   8.90074044e+01   1.43478822e+05   1.20524770e+05   9.27905424e+05
  1.90956611e-01   4.21669767e+00  -3.12979405e+00   1.09045143e+00   1.08729909e+00   1.00570474e+15   3.73220300e+16   9.51052876e+17   8.19754881e+12   1.55148691e+14   1.82574629e+15   3.89901214e+16   1.25279025e+17   1.72219615e+17   5.36004865e+17   7.35558081e+18   8.82514485e+20   2.23334048e+21   2.80331416e+23   6.71479139e+12   2.48267976e+14   6.31551243e+15   5.46391462e+10   1.03405816e+12   1.21822571e+13   2.59396683e+14   8.32522500e+14   1.14653597e+15   3.57627061e+15   4.91413576e+16   5.86816952e+18   1.48295462e+19   1.86303707e+21   8.52295939e+00   8.90242510e+01   1.46646318e+05   1.23831680e+05   9.21331623e+05
  2.13532213e-01   4.23296173e+00  -3.11452926e+00   1.16473616e+00   1.16425246e+00   7.21699573e+15   1.46355365e+17   1.31461907e+18   1.24958182e+14   1.86468541e+15   1.62784233e+16   2.09172486e+17   5.71473094e+17   7.91811310e+17   2.34370685e+18   3.27863611e+19   1.75761152e+21   2.85541260e+21   2.75096381e+23   4.71520389e+13   9.55181574e+14   8.58008776e+15   8.15954429e+11   1.21778162e+13   1.06319139e+14   1.36620815e+15   3.73095460e+15   5.16753420e+15   1.53096094e+16   2.14152768e+17   1.14776627e+19   1.86463428e+19   1.79645561e+21   8.49022734e+00   8.90234590e+01   1.53701461e+05   1.30258949e+05   9.34940411e+05
  2.36228791e-01   4.24941403e+00  -3.09908803e+00   1.26912106e+00   1.27218219e+00   5.03925762e+16   4.84638426e+17   1.58338651e+18   1.88319307e+15   2.17297752e+16   1.60978894e+17   1.24419923e+18   2.83326714e+18   4.00580996e+18   1.20258322e+19   1.59979499e+20   2.58222435e+21   2.51860341e+21   2.69634117e+23   3.20770531e+14   3.08466259e+15   1.00805273e+16   1.19820558e+13   1.38274434e+14   1.02463217e+15   7.91748777e+15   1.80315589e+16   2.55016898e+16   7.65567114e+16   1.01796225e+18   1.64436206e+19   1.60410784e+19   1.71611048e+21   8.45748693e+00   8.90273803e+01   1.63731738e+05   1.40167878e+05   9.51678444e+05
  2.58994740e-01   4.26595757e+00  -3.08356100e+00   1.39236003e+00   1.39955178e+00   2.36897410e+17   1.02982879e+18   1.24575030e+18   2.17162258e+16   2.04097685e+17   1.30859594e+18   6.21987103e+18   1.19765836e+19   1.67335619e+19   4.68466061e+19   4.04671408e+20   2.80051557e+21   1.83409310e+21   2.43896022e+23   1.43880131e+15   6.24609736e+15   7.55364303e+15   1.31926201e+14   1.23957372e+15   7.95256995e+15   3.77503526e+16   7.26853188e+16   1.01587195e+17   2.84476016e+17   2.45664304e+18   1.69851041e+19   1.11220062e+19   1.47935570e+21   8.42490594e+00   8.90233512e+01   1.60094412e+05   1.39433932e+05   8.95449402e+05
  2.81745934e-01   4.28252434e+00  -3.06801160e+00   1.71350428e+00   1.74388696e+00   1.15706676e+18   1.32915986e+18   4.20011491e+17   4.24682321e+17   2.71766042e+18   1.59025897e+19   3.75332616e+19   5.61504499e+19   7.58656068e+19   1.62593714e+20   6.17828988e+20   2.68676369e+21   8.88699802e+20   1.90203973e+23   6.53254712e+15   7.50555012e+15   2.37188937e+15   2.39690575e+15   1.53407182e+16   8.97608152e+16   2.11930754e+17   3.17052517e+17   4.28326819e+17   9.17997739e+17   3.48868414e+18   1.51716903e+19   5.01880704e+18   1.07403628e+21   8.39264459e+00   8.90400343e+01   1.53240161e+05   1.36169727e+05   7.73978524e+05
  3.04149907e-01   4.29901853e+00  -3.05253033e+00   2.54210653e+00   2.70134307e+00   2.77232749e+18   4.89594794e+17   5.49804045e+16   6.71949547e+18   2.31194361e+19   1.16107975e+20   1.10902186e+20   1.13771601e+20   1.96672719e+20   2.63438309e+20   3.50647045e+20   1.27945889e+21   5.11742425e+20   1.23697912e+23   1.26010944e+16   2.22536871e+15   2.49912744e+14   3.05413835e+16   1.05083456e+17   5.27751276e+17   5.04083322e+17   5.17126695e+17   8.93939708e+17   1.19740569e+18   1.59383054e+18   5.81558250e+18   2.32580280e+18   5.62227249e+20   8.36109281e+00   8.90364795e+01   1.48134536e+05   1.37094239e+05   6.31634676e+05
